stand	0	0	22	35	-1	-1
bla_cell	22	0	40	34	-1	-1
bla_cell	40	0	57	35	-1	-1
bla_cell	57	0	82	35	-1	-1
bla_cell	82	0	102	34	-1	-1
bla_cell	102	0	119	34	-1	-1
bla_cell	119	0	143	35	-1	-1
bla_cell	143	0	172	35	-1	-1
bla_cell	172	0	200	34	-1	-1
bla_cell	200	0	222	34	-1	-1
draw_weapon_1	222	0	248	35	-1	-1
draw_weapon_2	250	0	271	34	-1	-1
draw_weapon_3	273	0	294	34	-1	-1
targeting	294	0	326	35	-1	-1
fire_1	326	0	358	35	357	11
fire_2	358	0	389	36	388	11
joy_1	389	0	416	36	-1	-1
joy_2	416	0	445	37	-1	-1
joy_3	445	0	472	37	-1	-1
hide	472	0	499	37	-1	-1
crouch_targeting	499	0	531	25	-1	-1
crouch_fire_1	531	0	562	25	561	10
crouch_fire_2	562	0	591	25	590	10
disabled_1	591	0	621	34	595	1
disabled_2	621	0	651	35	-1	-1
disabled_3	651	0	681	34	-1	-1
dying_1	681	0	711	34	-1	-1
dying_2	711	0	741	34	-1	-1
dying_3	741	0	776	34	-1	-1
dying_4	776	0	811	34	-1	-1
dying_5	811	0	846	34	-1	-1
dead	846	0	869	7	-1	-1
