bla_cell	0	0	5	7	-1	-1
bla_cell	5	0	10	7	-1	-1
bla_cell	10	0	15	7	-1	-1
bla_cell	15	0	20	7	-1	-1
bla_cell	20	0	25	7	-1	-1
bla_cell	25	0	30	7	-1	-1
bla_cell	30	0	35	7	-1	-1
bla_cell	35	0	40	7	-1	-1
bla_cell	40	0	43	7	-1	-1
bla_cell	43	0	48	7	-1	-1
bla_cell	48	0	53	7	-1	-1
bla_cell	53	0	57	7	-1	-1
bla_cell	57	0	64	7	-1	-1
bla_cell	64	0	69	7	-1	-1
bla_cell	69	0	74	7	-1	-1
bla_cell	74	0	79	7	-1	-1
bla_cell	79	0	84	8	-1	-1
bla_cell	84	0	89	7	-1	-1
bla_cell	89	0	94	7	-1	-1
bla_cell	94	0	99	7	-1	-1
bla_cell	99	0	104	7	-1	-1
bla_cell	104	0	109	7	-1	-1
bla_cell	109	0	116	7	-1	-1
bla_cell	116	0	121	7	-1	-1
bla_cell	121	0	126	7	-1	-1
bla_cell	126	0	131	7	-1	-1
amic	131	0	136	9	-1	-1
bla_cell	136	0	141	9	-1	-1
bla_cell	141	0	146	9	-1	-1
bla_cell	146	0	151	9	-1	-1
bla_cell	151	0	156	9	-1	-1
bla_cell	156	0	160	9	-1	-1
bla_cell	160	0	165	9	-1	-1
bla_cell	165	0	170	9	-1	-1
bla_cell	170	0	173	9	-1	-1
bla_cell	173	0	177	9	-1	-1
bla_cell	177	0	182	9	-1	-1
bla_cell	182	0	185	9	-1	-1
bla_cell	185	0	192	9	-1	-1
bla_cell	192	0	197	9	-1	-1
bla_cell	197	0	202	9	-1	-1
bla_cell	202	0	207	9	-1	-1
bla_cell	207	0	212	9	-1	-1
bla_cell	212	0	216	9	-1	-1
bla_cell	216	0	221	9	-1	-1
bla_cell	221	0	225	9	-1	-1
bla_cell	225	0	230	9	-1	-1
bla_cell	230	0	235	9	-1	-1
bla_cell	235	0	242	9	-1	-1
bla_cell	242	0	247	9	-1	-1
bla_cell	247	0	252	9	-1	-1
bla_cell	252	0	257	9	-1	-1
zero	257	0	262	7	-1	-1
bla_cell	262	0	267	7	-1	-1
bla_cell	267	0	272	7	-1	-1
bla_cell	272	0	277	7	-1	-1
bla_cell	277	0	282	7	-1	-1
bla_cell	282	0	287	7	-1	-1
bla_cell	287	0	292	7	-1	-1
bla_cell	292	0	297	7	-1	-1
bla_cell	297	0	302	7	-1	-1
bla_cell	302	0	307	7	-1	-1
douapuncte	307	0	310	7	-1	-1
punctvirgula	310	0	313	8	-1	-1
virgula	313	0	316	8	-1	-1
ghilimeleduble	316	0	321	7	-1	-1
slash	321	0	328	7	-1	-1
plus	328	0	333	7	-1	-1
minus	333	0	338	7	-1	-1
egal	338	0	343	7	-1	-1
pp_st	343	0	347	7	-1	-1
pp_dr	347	0	351	7	-1	-1
p_st	351	0	355	7	-1	-1
p_dr	355	0	359	7	-1	-1
exclamation	359	0	362	7	-1	-1
intrebare	362	0	367	7	-1	-1
at	367	0	374	7	-1	-1
ampersand	374	0	381	7	-1	-1
star	381	0	388	7	-1	-1
diez	388	0	395	7	-1	-1
space	395	0	398	7	-1	-1
.	398	0	401	7	-1	-1
